Checking 175 components...


=== COMPLIANCE SUMMARY ===

Total Components: 175
Compliant (≥80%): 3
Partial (50-79%): 169
Non-Compliant (<50%): 3
Errors: 0


=== COMPLIANCE BY COMPONENT ===

Component                     Compliance     Status
XWUIDataGrid                  71.2%          ⚠ Partial
XWUIDurationPicker            71.2%          ⚠ Partial
XWUIFollowIndicator           71.2%          ⚠ Partial
XWUIMap                       71.2%          ⚠ Partial
XWUIMilestoneMarker           71.2%          ⚠ Partial
XWUIScrollTo                  71.2%          ⚠ Partial
XWUIStyleSelector             71.2%          ⚠ Partial
XWUIWorkflow                  71.2%          ⚠ Partial
XWUIApprovalWorkflow          69.7%          ⚠ Partial
XWUIChangeDiffViewer          69.7%          ⚠ Partial
XWUIDependencyVisualizer      69.7%          ⚠ Partial
XWUIDynamicFieldRenderer      69.7%          ⚠ Partial
XWUIFilePreview               69.7%          ⚠ Partial
XWUIGanttChart                69.7%          ⚠ Partial
XWUIProgressBySubtasks        69.7%          ⚠ Partial
XWUIRecurrencePicker          69.7%          ⚠ Partial
XWUISectionGrouping           69.7%          ⚠ Partial
XWUISubtaskExpander           69.7%          ⚠ Partial
XWUITimelineZoom              69.7%          ⚠ Partial
XWUITimeTracker               69.7%          ⚠ Partial
XWUICard                      68.2%          ⚠ Partial
XWUIDialog                    68.2%          ⚠ Partial
XWUIFormEditor                68.2%          ⚠ Partial
XWUIProgress                  68.2%          ⚠ Partial
XWUITable                     68.2%          ⚠ Partial
XWUITabs                      68.2%          ⚠ Partial
XWUIActivityFilter            66.7%          ⚠ Partial
XWUIKanbanBoard               66.7%          ⚠ Partial
XWUIButtonGroup               62.1%          ⚠ Partial
XWUICalendar                  62.1%          ⚠ Partial
XWUICarousel                  62.1%          ⚠ Partial
XWUIChip                      62.1%          ⚠ Partial
XWUICommand                   62.1%          ⚠ Partial
XWUIConsole                   62.1%          ⚠ Partial
XWUIDrawer                    62.1%          ⚠ Partial
XWUIDropdownMenu              62.1%          ⚠ Partial
XWUIEmpty                     62.1%          ⚠ Partial
XWUIField                     62.1%          ⚠ Partial
XWUIForm                      62.1%          ⚠ Partial
XWUIGrid                      62.1%          ⚠ Partial
XWUIInputGroup                62.1%          ⚠ Partial
XWUIInputOTP                  62.1%          ⚠ Partial
XWUIItem                      62.1%          ⚠ Partial
XWUIKbd                       62.1%          ⚠ Partial
XWUILabel                     62.1%          ⚠ Partial
XWUIList                      62.1%          ⚠ Partial
XWUIMenu                      62.1%          ⚠ Partial
XWUIMenubar                   62.1%          ⚠ Partial
XWUIPagination                62.1%          ⚠ Partial
XWUIPopover                   62.1%          ⚠ Partial
XWUIRating                    62.1%          ⚠ Partial
XWUIResizable                 62.1%          ⚠ Partial
XWUIResult                    62.1%          ⚠ Partial
XWUISeparator                 62.1%          ⚠ Partial
XWUISidebar                   62.1%          ⚠ Partial
XWUISteps                     62.1%          ⚠ Partial
XWUITimeline                  62.1%          ⚠ Partial
XWUITimePicker                62.1%          ⚠ Partial
XWUIToggleGroup               62.1%          ⚠ Partial
XWUITree                      62.1%          ⚠ Partial
XWUITypography                62.1%          ⚠ Partial
XWUIUpload                    62.1%          ⚠ Partial
XWUIAccordion                 59.1%          ⚠ Partial
XWUIAppBar                    59.1%          ⚠ Partial
XWUIAspectRatio               59.1%          ⚠ Partial
XWUIAvatar                    59.1%          ⚠ Partial
XWUIBadge                     59.1%          ⚠ Partial
XWUIBreadcrumbs               59.1%          ⚠ Partial
XWUICheckbox                  59.1%          ⚠ Partial
XWUICollapse                  59.1%          ⚠ Partial
XWUIContextMenu               59.1%          ⚠ Partial
XWUIDatePicker                59.1%          ⚠ Partial
XWUINavigationMenu            59.1%          ⚠ Partial
XWUIRadioGroup                59.1%          ⚠ Partial
XWUIScrollArea                59.1%          ⚠ Partial
XWUISelect                    59.1%          ⚠ Partial
XWUISkeleton                  59.1%          ⚠ Partial
XWUISlider                    59.1%          ⚠ Partial
XWUISpinner                   59.1%          ⚠ Partial
XWUISwitch                    59.1%          ⚠ Partial
XWUITextarea                  59.1%          ⚠ Partial
XWUIToast                     59.1%          ⚠ Partial
XWUITooltip                   59.1%          ⚠ Partial
XWUIBox                       57.6%          ⚠ Partial
XWUICenter                    57.6%          ⚠ Partial
XWUIContainer                 57.6%          ⚠ Partial
XWUIFlex                      57.6%          ⚠ Partial
XWUIHoverCard                 57.6%          ⚠ Partial
XWUIPortal                    57.6%          ⚠ Partial
XWUIQRCode                    57.6%          ⚠ Partial
XWUIRangeSlider               57.6%          ⚠ Partial
XWUIStack                     57.6%          ⚠ Partial
XWUITransition                57.6%          ⚠ Partial
XWUIVisuallyHidden            57.6%          ⚠ Partial
XWUIWatermark                 57.6%          ⚠ Partial
XWUIAffix                     54.5%          ⚠ Partial
XWUIAvatarGroup               54.5%          ⚠ Partial
XWUIBackToTop                 54.5%          ⚠ Partial
XWUIDateRangePicker           54.5%          ⚠ Partial
XWUIJsonInput                 54.5%          ⚠ Partial
XWUISpace                     54.5%          ⚠ Partial
XWUIAnchor                    51.5%          ⚠ Partial
XWUIAutocomplete              51.5%          ⚠ Partial
XWUICascader                  51.5%          ⚠ Partial
XWUIColorPicker               51.5%          ⚠ Partial
XWUIDescriptionList           51.5%          ⚠ Partial
XWUIMentions                  51.5%          ⚠ Partial
XWUIMultiSelect               51.5%          ⚠ Partial
XWUIPasswordInput             51.5%          ⚠ Partial
XWUIPopconfirm                51.5%          ⚠ Partial
XWUIRichTextEditor            51.5%          ⚠ Partial
XWUISegmentedControl          51.5%          ⚠ Partial
XWUISpeedDial                 51.5%          ⚠ Partial
XWUISpoiler                   51.5%          ⚠ Partial
XWUIStatistic                 51.5%          ⚠ Partial
XWUITour                      51.5%          ⚠ Partial
XWUITreeSelect                51.5%          ⚠ Partial
XWUITester                    43.9%          ✗ Non-Compliant
XWUIItemGroup                 39.4%          ✗ Non-Compliant
XWUIComponent                 33.3%          ✗ Non-Compliant


Detailed report saved to: D:\OneDrive\DEV\exonware\xwui\COMPONENT_COMPLIANCE_REPORT.json
